Topics,Category,Trust Dimension
LAW ENFORCEMENT TRAINING,Regulatory compliance,['Integrity']
TAX AUDITS,Regulatory compliance,['Integrity']
AIDS & HIV POLICY,Regulatory compliance,['Integrity']
ADMINISTRATIVE LAW JUDGES,Regulatory compliance,['Integrity']
TENTATIVE LABOR AGREEMENTS,Regulatory compliance,['Integrity']
MARRIAGE LAW,Regulatory compliance,['Integrity']
RECEIVING STOLEN PROPERTY,Regulatory compliance,['Integrity']
"AGRICULTURE, FORESTRY, FISHING & HUNTING LAW",Regulatory compliance,['Integrity']
ANTIDUMPING LAWS,Regulatory compliance,['Integrity']
RENT CONTROL,Regulatory compliance,['Integrity']
NOTARIES,Regulatory compliance,['Integrity']
"ESTATE, GIFT & TRUST LAW",Regulatory compliance,['Integrity']
TOBACCO REGULATION & POLICY,Regulatory compliance,['Integrity']
INDIGENOUS PEOPLES LAW,Regulatory compliance,['Integrity']
TELEPHONY REGULATION,Regulatory compliance,['Integrity']
MINE SAFETY REGULATION,Regulatory compliance,['Integrity']
SOCIAL ASSISTANCE REGULATION & POLICY,Regulatory compliance,['Integrity']
SAME SEX MARRIAGE LAWS,Regulatory compliance,['Integrity']
OFFENDER REGISTRIES,Regulatory compliance,['Integrity']
US SARBANES OXLEY ACT,Regulatory compliance,['Integrity']
PROPERTY LAW,Regulatory compliance,['Integrity']
US OMNIBUS BUDGET RECONCILIATION ACT,Regulatory compliance,['Integrity']
CHEMICALS SAFETY REGULATION,Regulatory compliance,['Integrity']
AMNESTY,Regulatory compliance,['Integrity']
TELEMARKETING REGULATION,Regulatory compliance,['Integrity']
PRO BONO LAW,Regulatory compliance,['Integrity']
JUDICIAL REVIEW,Regulatory compliance,['Integrity']
CRIMINAL FALSE IMPRISONMENT,Regulatory compliance,['Integrity']
COUNTERTERRORISM LAWS,Regulatory compliance,['Integrity']
LEGAL MONOPOLIZATION,Regulatory compliance,['Integrity']
US CHAPTER 7 BANKRUPTCY,Regulatory compliance,['Integrity']
MILITARY COURTS,Regulatory compliance,['Integrity']
RIGHT TO EDUCATION,Regulatory compliance,['Integrity']
JUDICIAL ERROR,Regulatory compliance,['Integrity']
LAW FIRM PROFITABILITY,Regulatory compliance,['Integrity']
TAX HAVENS,Regulatory compliance,['Integrity']
TAX ASSESSORS,Regulatory compliance,['Integrity']
DEFENSE ORDERS,Regulatory compliance,['Integrity']
ARMS EMBARGOES,Regulatory compliance,['Integrity']
GOODS & SERVICES TAX,Regulatory compliance,['Integrity']
PESTICIDE REGULATION,Regulatory compliance,['Integrity']
FREEDOM OF THE SEAS,Regulatory compliance,['Integrity']
SUBSTANCE ABUSE PREVENTION,Regulatory compliance,['Integrity']
ADMISSION TO PRACTICE LAW,Regulatory compliance,['Integrity']
SUNSHINE LAWS,Regulatory compliance,['Integrity']
SMOKING BANS,Regulatory compliance,['Integrity']
US CLAYTON ANTITRUST ACT,Regulatory compliance,['Integrity']
LAW OF WAR,Regulatory compliance,['Integrity']
HAZARDOUS MATERIALS REGULATION,Regulatory compliance,['Integrity']
LANDLORD & TENANT LAW,Regulatory compliance,['Integrity']
TRADE REGULATORY ACTIONS,Regulatory compliance,['Integrity']
SPEED LIMIT ENFORCEMENT,Regulatory compliance,['Integrity']
SEXUAL ASSAULT FORENSIC EVIDENCE,Regulatory compliance,['Integrity']
PREMARITAL AGREEMENTS,Regulatory compliance,['Integrity']
VETERANS LAW,Regulatory compliance,['Integrity']
SEPARATION OF POWERS,Regulatory compliance,['Integrity']
SOVEREIGN IMMUNITY,Regulatory compliance,['Integrity']
PARKING OFFENSES,Regulatory compliance,['Integrity']
AGRICULTURE REGULATION & POLICY,Regulatory compliance,['Integrity']
CHARITIES LAW,Regulatory compliance,['Integrity']
JUVENILE COURTS,Regulatory compliance,['Integrity']
PUBLIC CONTRACTS LAW,Regulatory compliance,['Integrity']
HIGHWAY TRANSPORTATION LAW,Regulatory compliance,['Integrity']
STUDENT RIGHTS,Regulatory compliance,['Integrity']
FRANCHISING LAW,Regulatory compliance,['Integrity']
LAW FIRM ATTORNEY RECRUITMENT,Regulatory compliance,['Integrity']
INTERNATIONAL COMMERCIAL TERMS,Regulatory compliance,['Integrity']
LAW OF THE SEA,Regulatory compliance,['Integrity']
FLAG REGULATION & POLICY,Regulatory compliance,['Integrity']
SPACE LAW,Regulatory compliance,['Integrity']
ADVANCE DIRECTIVES,Regulatory compliance,['Integrity']
ILLEGAL PROSTITUTION,Regulatory compliance,['Integrity']
RIGHT TO SPEEDY TRIAL,Regulatory compliance,['Integrity']
DIPLOMATIC IMMUNITY,Regulatory compliance,['Integrity']
RETIREMENT POLICIES,Regulatory compliance,['Integrity']
PSYCHEDELIC MUSHROOM REGULATION & POLICY,Regulatory compliance,['Integrity']
US PATRIOT ACT,Regulatory compliance,['Integrity']
FAMILY COURTS,Regulatory compliance,['Integrity']
WORKERS COMPENSATION LAW,Regulatory compliance,['Integrity']
TAX TREATIES & AGREEMENTS,Regulatory compliance,['Integrity']
DRUG PRICE REGULATION & POLICY,Regulatory compliance,['Integrity']
US DIGITAL MILLENNIUM COPYRIGHT ACT,Regulatory compliance,['Integrity']
ILLEGAL DUMPING,Regulatory compliance,['Integrity']
RED LINE ON WEAPONS,Regulatory compliance,['Integrity']
SPAM REGULATION,Regulatory compliance,['Integrity']
ELDER LAW,Regulatory compliance,['Integrity']
US SOCIAL SECURITY ACTS,Regulatory compliance,['Integrity']
RESTRICTIVE COVENANTS,Regulatory compliance,['Integrity']
PATIENT RIGHTS,Regulatory compliance,['Integrity']
COURT COST FINES,Regulatory compliance,['Integrity']
EU RESTRICTION OF HAZARDOUS SUBSTANCES DIRECTIVE,Regulatory compliance,['Integrity']
CHILD LABOR LAWS,Regulatory compliance,['Integrity']
FIX PROTOCOL,Regulatory compliance,['Integrity']
LAW LIBRARIES,Regulatory compliance,['Integrity']
CHEMICALS REGULATION & POLICY,Regulatory compliance,['Integrity']
CRUEL & UNUSUAL PUNISHMENT,Regulatory compliance,['Integrity']
JUNK FOOD TAX,Regulatory compliance,['Integrity']
GIFT TAX,Regulatory compliance,['Integrity']
US TRUTH IN LENDING ACT,Regulatory compliance,['Integrity']
POSTCONVICTION PROCEEDINGS,Regulatory compliance,['Integrity']
SOLID WASTE REGULATION,Regulatory compliance,['Integrity']
MARINE SHIPPING LAW,Regulatory compliance,['Integrity']
LAW SCHOOL RANKINGS,Regulatory compliance,['Integrity']
KAVANAUGH SUPREME COURT HEARINGS,Regulatory compliance,['Integrity']
US REAL ESTATE SETTLEMENT PROCEDURES ACT,Regulatory compliance,['Integrity']
US UNIFORM COMMERCIAL CODE,Regulatory compliance,['Integrity']
TRUST LAW,Regulatory compliance,['Integrity']
LAW FIRM BILLABLE HOURS,Regulatory compliance,['Integrity']
RIGHT TO COUNSEL,Regulatory compliance,['Integrity']
SUMMER LAW ASSOCIATES,Regulatory compliance,['Integrity']
MIRANDA RULE,Regulatory compliance,['Integrity']
CRIMINAL DEFENSES,Regulatory compliance,['Integrity']
FISHING LAW,Regulatory compliance,['Integrity']
RED FLAG GUN LAWS,Regulatory compliance,['Integrity']
SOTOMAYOR HEARINGS,Regulatory compliance,['Integrity']
FOOD LIABILITY LITIGATION,Regulatory compliance,['Integrity']
US TARIFF ACT OF 1930,Regulatory compliance,['Integrity']
DRUG COURTS,Regulatory compliance,['Integrity']
BUILD OWN OPERATE & TRANSFER CONTRACTS,Regulatory compliance,['Integrity']
US INDIVIDUALS WITH DISABILITIES EDUCATION ACT,Regulatory compliance,['Integrity']
HAZARDOUS MATERIALS TRANSPORTATION REGULATION,Regulatory compliance,['Integrity']
TENDER OFFERS REGULATION,Regulatory compliance,['Integrity']
US CHAPTER 13 BANKRUPTCY,Regulatory compliance,['Integrity']
FOOD ADDITIVES REGULATION,Regulatory compliance,['Integrity']
RESEARCH REPORTS,Societal engagement/Social Responsibility/Charities,['Purpose']
COVID-19 CORONAVIRUS,Societal engagement/Social Responsibility/Charities,['Purpose']
COVID CORONAVIRUS,Societal engagement/Social Responsibility/Charities,['Purpose']
EQUITY RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
VACCINES,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC HEALTH,Societal engagement/Social Responsibility/Charities,['Purpose']
US FEDERAL GOVERNMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
GOVERNMENT & PUBLIC ADMINISTRATION,Societal engagement/Social Responsibility/Charities,['Purpose']
COVID-19 CORONAVIRUS VACCINE,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC HEALTH ADMINISTRATION,Societal engagement/Social Responsibility/Charities,['Purpose']
US REPUBLICAN PARTY,Societal engagement/Social Responsibility/Charities,['Purpose']
HEALTH DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
VACCINATION & IMMUNIZATION,Societal engagement/Social Responsibility/Charities,['Purpose']
APPOINTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
MEDICINE & HEALTH,Societal engagement/Social Responsibility/Charities,['Purpose']
SPORTS & RECREATION,Societal engagement/Social Responsibility/Charities,['Purpose']
RESEARCH & DEVELOPMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
PENSION & RETIREMENT PLANS,Societal engagement/Social Responsibility/Charities,['Purpose']
INITIAL PUBLIC OFFERINGS,Societal engagement/Social Responsibility/Charities,['Purpose']
"SOCIETY, SOCIAL ASSISTANCE & LIFESTYLE",Societal engagement/Social Responsibility/Charities,['Purpose']
PENSION FUNDS,Societal engagement/Social Responsibility/Charities,['Purpose']
CAMPAIGNS & ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
CIVIL SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC EMPLOYEE RETIREMENT SYSTEMS,Societal engagement/Social Responsibility/Charities,['Purpose']
GOVERNMENT ADVISORS & MINISTERS,Societal engagement/Social Responsibility/Charities,['Purpose']
MEDICAL TREATMENTS & PROCEDURES,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC OFFICIALS,Societal engagement/Social Responsibility/Charities,['Purpose']
COVID-19 CORONAVIRUS REGULATION & POLICY,Societal engagement/Social Responsibility/Charities,['Purpose']
ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
POLLS & SURVEYS,Societal engagement/Social Responsibility/Charities,['Purpose']
BIOTECHNOLOGY SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
POLITICS,Societal engagement/Social Responsibility/Charities,['Purpose']
NONPROFIT ORGANIZATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
DRUG DESIGN & DISCOVERY,Societal engagement/Social Responsibility/Charities,['Purpose']
MEDICAL RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
US PRESIDENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
SUPPLY CHAIN MANAGEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
EUROPEAN UNION,Societal engagement/Social Responsibility/Charities,['Purpose']
RESIGNATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
RISK MANAGEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
DRUG & MEDICAL DEVICES APPROVAL,Societal engagement/Social Responsibility/Charities,['Purpose']
RESEARCH INSTITUTES,Societal engagement/Social Responsibility/Charities,['Purpose']
COVID-19 CORONAVIRUS ASSISTANCE & STIMULUS PLANS,Societal engagement/Social Responsibility/Charities,['Purpose']
TEACHER RETIREMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
EDUCATION & TRAINING,Societal engagement/Social Responsibility/Charities,['Purpose']
TREASURY DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
COMMUNICABLE DISEASE CONTROL,Societal engagement/Social Responsibility/Charities,['Purpose']
LEGAL SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
EXPERIMENTATION & RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
CHARITIES,Societal engagement/Social Responsibility/Charities,['Purpose']
AUTOMOTIVE SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
COMMERCE DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
DRUG SAFETY,Societal engagement/Social Responsibility/Charities,['Purpose']
INTELLIGENCE SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
PERSONAL PROTECTIVE EQUIPMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
DEFENSE DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
LABOR DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
LABOR SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
CONSTRUCTION SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
HEALTH CARE POLICY,Societal engagement/Social Responsibility/Charities,['Purpose']
TRANSPORTATION SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
POLITICAL CANDIDATES,Societal engagement/Social Responsibility/Charities,['Purpose']
DERIVATIVE INSTRUMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
EMERGENCY SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
STATE DEPARTMENTS & FOREIGN SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
INTERIM MANAGEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
HEALTH CARE SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC SCHOOLS,Societal engagement/Social Responsibility/Charities,['Purpose']
ENERGY & UTILITY POLICY,Societal engagement/Social Responsibility/Charities,['Purpose']
ANIMAL WELFARE,Societal engagement/Social Responsibility/Charities,['Purpose']
TRANSPORTATION DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
US FDA REVIEW,Societal engagement/Social Responsibility/Charities,['Purpose']
AIR FORCES,Societal engagement/Social Responsibility/Charities,['Purpose']
SCHOOL DISTRICTS,Societal engagement/Social Responsibility/Charities,['Purpose']
MILITARY WEAPONS,Societal engagement/Social Responsibility/Charities,['Purpose']
FOOD SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
GENDER EQUALITY,Societal engagement/Social Responsibility/Charities,['Purpose']
AEROSPACE SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
MANUFACTURING SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
MEDICARE,Societal engagement/Social Responsibility/Charities,['Purpose']
AVIATION ADMINISTRATION,Societal engagement/Social Responsibility/Charities,['Purpose']
TRANSCRIPTS,Societal engagement/Social Responsibility/Charities,['Purpose']
GOVERNMENT BONDS,Societal engagement/Social Responsibility/Charities,['Purpose']
PROJECT MANAGEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
PRIMARY SCHOOLS,Societal engagement/Social Responsibility/Charities,['Purpose']
HEALTH CARE COSTS,Societal engagement/Social Responsibility/Charities,['Purpose']
GOVERNMENT STATISTICS AGENCIES,Societal engagement/Social Responsibility/Charities,['Purpose']
EMMY AWARDS,Societal engagement/Social Responsibility/Charities,['Purpose']
RELOCATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
EMPLOYMENT SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC CONTRACTING,Societal engagement/Social Responsibility/Charities,['Purpose']
PHARMACEUTICALS SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
FOOD CHARITIES,Societal engagement/Social Responsibility/Charities,['Purpose']
COLLEGIATE SPORTS ORGANIZATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
HOME IMPROVEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
ELECTRONICS SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
HEALTH CARE ACCESS,Societal engagement/Social Responsibility/Charities,['Purpose']
RESEARCH & DEVELOPMENT SPENDING,Societal engagement/Social Responsibility/Charities,['Purpose']
MEDICAID,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC DEBT,Societal engagement/Social Responsibility/Charities,['Purpose']
IMMUNODIAGNOSTICS,Societal engagement/Social Responsibility/Charities,['Purpose']
DISEASE REPORTING,Societal engagement/Social Responsibility/Charities,['Purpose']
HUMAN RIGHTS ORGANIZATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
CORPORATE SOCIAL RESPONSIBILITY,Societal engagement/Social Responsibility/Charities,['Purpose']
DEPOSITORY SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
HEALTH CARE RATIONING,Societal engagement/Social Responsibility/Charities,['Purpose']
FIDUCIARY DUTIES,Societal engagement/Social Responsibility/Charities,['Purpose']
US ARMY,Societal engagement/Social Responsibility/Charities,['Purpose']
TRANSPLANT SURGERY,Societal engagement/Social Responsibility/Charities,['Purpose']
RELIEF ORGANIZATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
SOCIAL SERVICES DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
SPORTS INSTRUCTION,Societal engagement/Social Responsibility/Charities,['Purpose']
AVIATION SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
SHELTER IN PLACE,Societal engagement/Social Responsibility/Charities,['Purpose']
FOREIGN POLICY,Societal engagement/Social Responsibility/Charities,['Purpose']
INVENTORY MANAGEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
HOUSING ASSISTANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
WATER SUPPLY UTILITIES,Societal engagement/Social Responsibility/Charities,['Purpose']
CHILD CARE,Societal engagement/Social Responsibility/Charities,['Purpose']
MISSILE SYSTEMS,Societal engagement/Social Responsibility/Charities,['Purpose']
DISEASE CONTACT TRACING,Societal engagement/Social Responsibility/Charities,['Purpose']
CAPACITY UTILIZATION,Societal engagement/Social Responsibility/Charities,['Purpose']
LAND USE PLANNING,Societal engagement/Social Responsibility/Charities,['Purpose']
CALL CENTERS,Societal engagement/Social Responsibility/Charities,['Purpose']
CONSERVATIVE MEDIA,Societal engagement/Social Responsibility/Charities,['Purpose']
MAIL-IN VOTING,Societal engagement/Social Responsibility/Charities,['Purpose']
SOCIAL SCIENCE EDUCATION,Societal engagement/Social Responsibility/Charities,['Purpose']
CONTESTED ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
AEROSPACE RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC LANDS,Societal engagement/Social Responsibility/Charities,['Purpose']
OCEANOGRAPHIC & ATMOSPHERIC SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
AGRICULTURE DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
MEDICAL EDUCATION,Societal engagement/Social Responsibility/Charities,['Purpose']
CENSUS,Societal engagement/Social Responsibility/Charities,['Purpose']
PAIN MANAGEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
HOSPITALITY SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
FOOD SAFETY,Societal engagement/Social Responsibility/Charities,['Purpose']
PLANT CONSTRUCTION,Societal engagement/Social Responsibility/Charities,['Purpose']
MATERIALS HANDLING,Societal engagement/Social Responsibility/Charities,['Purpose']
US NAVY,Societal engagement/Social Responsibility/Charities,['Purpose']
US AIR FORCE,Societal engagement/Social Responsibility/Charities,['Purpose']
EDUCATION ADMINISTRATION,Societal engagement/Social Responsibility/Charities,['Purpose']
EDUCATION DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
WEB BASED TRAINING,Societal engagement/Social Responsibility/Charities,['Purpose']
BALLOTS,Societal engagement/Social Responsibility/Charities,['Purpose']
PRIMARY ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
MENTAL HEALTH PRACTICE,Societal engagement/Social Responsibility/Charities,['Purpose']
NONGOVERNMENTAL ORGANIZATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
HOUSING AUTHORITIES,Societal engagement/Social Responsibility/Charities,['Purpose']
RUNOFF ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
CRITICAL INFRASTRUCTURE,Societal engagement/Social Responsibility/Charities,['Purpose']
BEVERAGE SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
FIRE DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
EDUCATION FUNDING,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC PRIVATE PARTNERSHIPS,Societal engagement/Social Responsibility/Charities,['Purpose']
MUSICAL INSTRUMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
SCIENCE FUNDING,Societal engagement/Social Responsibility/Charities,['Purpose']
BACKGROUND CHECKS,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC RECORDS,Societal engagement/Social Responsibility/Charities,['Purpose']
AUTOMOTIVE SAFETY,Societal engagement/Social Responsibility/Charities,['Purpose']
SHIPMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
EXPERIMENTAL THERAPIES,Societal engagement/Social Responsibility/Charities,['Purpose']
ANIMAL EXPERIMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
CHILD ABUSE,Societal engagement/Social Responsibility/Charities,['Purpose']
ROAD TRANSPORTATION SAFETY,Societal engagement/Social Responsibility/Charities,['Purpose']
NUCLEAR WEAPONS,Societal engagement/Social Responsibility/Charities,['Purpose']
ELECTION AUTHORITIES,Societal engagement/Social Responsibility/Charities,['Purpose']
DEFENSE SPENDING,Societal engagement/Social Responsibility/Charities,['Purpose']
SPORTS GOVERNING BODIES,Societal engagement/Social Responsibility/Charities,['Purpose']
CONTRACT RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
DRUG TRAFFICKING,Societal engagement/Social Responsibility/Charities,['Purpose']
VOTER REGISTRATION,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLISHING SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
WELFARE BENEFITS,Societal engagement/Social Responsibility/Charities,['Purpose']
SPACE STATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
INSURANCE SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
MANDATORY VACCINATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
BAILOUTS,Societal engagement/Social Responsibility/Charities,['Purpose']
LOW COST HOUSING SCHEMES,Societal engagement/Social Responsibility/Charities,['Purpose']
CHARITABLE GIVING,Societal engagement/Social Responsibility/Charities,['Purpose']
VETO,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC HOUSING,Societal engagement/Social Responsibility/Charities,['Purpose']
AIR TRANSPORTATION SAFETY,Societal engagement/Social Responsibility/Charities,['Purpose']
US SENATE ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
OBAMA HEALTH CARE REFORM,Societal engagement/Social Responsibility/Charities,['Purpose']
UNION ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
SEXUALLY TRANSMITTED DISEASE,Societal engagement/Social Responsibility/Charities,['Purpose']
FIXED INCOME RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
RETIREMENT PLANNING,Societal engagement/Social Responsibility/Charities,['Purpose']
FOOD ASSISTANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
RESCUE OPERATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
SUBSTANCE ABUSE TREATMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
MUSICAL THEATER,Societal engagement/Social Responsibility/Charities,['Purpose']
DIPLOMATIC SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
EXHIBITIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
DEFENSE SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
AMBULANCE & RESCUE SERVICES,Societal engagement/Social Responsibility/Charities,['Purpose']
STUDENT HOUSING,Societal engagement/Social Responsibility/Charities,['Purpose']
CLINICAL DECISION SUPPORT,Societal engagement/Social Responsibility/Charities,['Purpose']
COMMUNITY HEALTH PROGRAMS,Societal engagement/Social Responsibility/Charities,['Purpose']
ANTI-VACCINE MOVEMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
ENFORCEMENT ACTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
TOURISM DEVELOPMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
CULTURE DEPARTMENTS,Societal engagement/Social Responsibility/Charities,['Purpose']
SCHOOL VACCINATION & IMMUNIZATION,Societal engagement/Social Responsibility/Charities,['Purpose']
MILITARY OPERATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
SOCIAL ISOLATION,Societal engagement/Social Responsibility/Charities,['Purpose']
MILITARY SERVICE,Societal engagement/Social Responsibility/Charities,['Purpose']
WIRE TRANSFERS,Societal engagement/Social Responsibility/Charities,['Purpose']
TRANSIT AUTHORITIES,Societal engagement/Social Responsibility/Charities,['Purpose']
BONUS PAY,Societal engagement/Social Responsibility/Charities,['Purpose']
CHILD DEVELOPMENT,Societal engagement/Social Responsibility/Charities,['Purpose']
VOLUNTARY HEALTH ORGANIZATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
NATIONAL HEALTH INSURANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
MILITARY BASES,Societal engagement/Social Responsibility/Charities,['Purpose']
ACUTE CARE,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC HEARINGS,Societal engagement/Social Responsibility/Charities,['Purpose']
PUBLIC HEALTH SURVEILLANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
RAIL TRANSPORTATION SECTOR PERFORMANCE,Societal engagement/Social Responsibility/Charities,['Purpose']
HOSPICE,Societal engagement/Social Responsibility/Charities,['Purpose']
CONTINUING EDUCATION,Societal engagement/Social Responsibility/Charities,['Purpose']
POPULATION HEALTH,Societal engagement/Social Responsibility/Charities,['Purpose']
SECURE ONLINE TRANSACTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
ELECTION REFORM,Societal engagement/Social Responsibility/Charities,['Purpose']
INSURANCE ASSOCIATIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
VOTER SUPPRESSION,Societal engagement/Social Responsibility/Charities,['Purpose']
URBAN SCHOOLS,Societal engagement/Social Responsibility/Charities,['Purpose']
MACHINE TRANSLATION,Societal engagement/Social Responsibility/Charities,['Purpose']
MILITARY TRAINING,Societal engagement/Social Responsibility/Charities,['Purpose']
MUSIC EDUCATION,Societal engagement/Social Responsibility/Charities,['Purpose']
SUBSIDIARY CREATION,Societal engagement/Social Responsibility/Charities,['Purpose']
AUTOMOTIVE RECALLS,Societal engagement/Social Responsibility/Charities,['Purpose']
GENE BASED DRUG DISCOVERY,Societal engagement/Social Responsibility/Charities,['Purpose']
US MARINE CORPS,Societal engagement/Social Responsibility/Charities,['Purpose']
ENERGY RESEARCH,Societal engagement/Social Responsibility/Charities,['Purpose']
ASSASSINATION,Societal engagement/Social Responsibility/Charities,['Purpose']
CONSTRUCTION SPENDING,Societal engagement/Social Responsibility/Charities,['Purpose']
HOME HEALTH TESTING,Societal engagement/Social Responsibility/Charities,['Purpose']
CONSTRUCTION COSTS,Societal engagement/Social Responsibility/Charities,['Purpose']
MIDTERM ELECTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
SCHOOL TRANSPORTATION,Societal engagement/Social Responsibility/Charities,['Purpose']
SWAP TRANSACTIONS,Societal engagement/Social Responsibility/Charities,['Purpose']
HOMELESS SHELTERS,Societal engagement/Social Responsibility/Charities,['Purpose']
WASTE REDUCTION,Societal engagement/Social Responsibility/Charities,['Purpose']
IMPORT CONTROLS,Societal engagement/Social Responsibility/Charities,['Purpose']
